Product,Produkt
"Product does not exist","Produkt nie istnieje"
"Product Name","Nazwa produktu"
Qty,Ilość
Register,Zarejestruj
"Register and save time!","Zarejestruj się aby szybciej robić zakupy!"
Remove,Usuń
"Remove Item","Usuń produkt"
"Remove Product","Usuń produkt"
"Requested quantity is not available","Wybrana ilość nie jest dostępna"
"Review Order","Podgląd zamówienia"
"Select a billing address from your address book or enter a new address.","Wybierz adres płatnika z książki adresowej lub <a href=""#"" onclick=""billing.newAddress(true) return false"">utwórz nowy adres</a>."""
"Select a shipping address from your address book or enter a new address.","Wybierz adres dostawy z książki adresowej lub <a href=""#"" onclick=""shipping.newAddress(true) return false"">utwórz nowy adres</a>."""
"Select Address","Wybierz adres"
"Select Addresses","Wybierz adresy"
"Select Shipping Method","Wybierz formę dostawy"
"Select State/Province...","Wybierz województwo..."
"Send to","Wysyłka do"
"Ship to Multiple Addresses","Dostawa z wieloma adresami"
"Ship to this address","Dostawa pod wskazany adres"
"Shipping Address","Adres dostawy"
"Shipping Information","Informacje o dostawie"
"Shipping Method","Forma wysyłki"
"Shipping method has not been selected yet","Nie wybrano jeszcze formy wysyłki"
"Shipping Methods","Formy wysyłki"
"Shipping to","Dostawa do"
"Shopping Cart",Koszyk
"Shopping Cart is Empty","Koszyk jest pusty"
"Some of the products you requested are not available in the desired quantity","Niektóre z wybranych produktów nie są dostępne we wskazanej ilości"
"Some of the products you requested are unavailable","Niektóre z wybranych produktów nie są dostępne"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
State/Province,Województwo
"Street Address",Ulica
"Street Address 2","Ulica cd."
"Submitting order information...","Przetwarzanie zamówienia..."
Subtotal,"Wartość produktów"
Telephone,Telefon
"Thank you for your purchase!","Dziękujemy za złożenie zamówienia!"
"The item(s) marked in red are not available in the desired quantity. Please update the quantity of the item(s)","Produkty oznaczone kolorem czerwonym nie są dostępne we wskazanej ilości. Zaktualizuj ich ilość."
"There is already a customer registered using this email address","Ten adres email jest już używany przez innego klienta"
"This product is out of stock","Produktu nie ma w magazynie"
"Total for this address","W sumie dla tego adresu"
"Unit Price","Cena jednostkowa"
"Update Qty &amp; Addresses","Zmień ilość i adresy"
"Update Shopping Cart","Aktualizuj koszyk"
"Update Total","Aktualizuj sumę"
"Use Billing Address","Użyj adresu płatnika"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Przetwarzamy twoje zamówienie. W niedługim czasie otrzymasz email potwierdzający z linkiem do śledzenia statusu zamówienia."
"You have no items in your cart.","W koszyku nie masz żadnych produktów"
"You have no items in your shopping cart.","Nie masz produktów w koszyku"
"You may check out as a guest or register with us for future convenience:","Możesz złożyć zamówienie bez rejestracji lub założyć konto aby w przyszłości wygodniej składać zamówienia:"
"You will receive an order confirmation email with details of your order and a link to track its progress.","W ciągu kilku minut otrzymasz email z potwierdzeniem oraz linkiem do śledzenia statusu zamówienia."
"Your Checkout Progress","Postęp realizacji zamówienia"
"Your order # is: %s","Numer zamówienia to : %s"
"Your order has been received","Zamówienie zostało przekazane do sklepu"
"Your order number is %s","Numer twojego zamówienia to %s"
"Zip/Postal Code","Kod pocztowy"
