" and above."," i powyżej."
"Are you sure you want to delete this address?","Czy na pewno chcesz skasować ten adres?"
"Are you sure you want to delete this attribute set?","Are you sure you want to delete this attribute set?"
"Are you sure you want to delete this category?","Czy na pewno usunąć kategorię?"
"Are you sure you want to delete this user from this role?","Czy chcesz usunąć tego użytkownika z tej grupy?"
"Are you sure you want to do this?","Czy na pewno?"
"Are you sure you want to take this action?","Czy na pewno?"
"Are you sure?","Czy na pewno?"
"Are you sure? This order will be cancelled and a new one will be created instead","Czy jesteś pewien? To zamówienie zostanie usunięte a w miejsce niego zostanie utworzone nowe"
"Assigned Answers","Przypisane odpowiedzi"
"Assigned Options","Przypisane opcje"
"Assigned Role","Przypisany poziom uprawnień"
"Associated Products","Produkty powiązane"
"Attrib. Set Name","Nazwa zestawu cech"
"Attribute Code","Kod cechy"
"Attribute Identifier","Identyfikator cechy"
"Attribute Identifier<br/>(For internal use. Must be unique with no spaces)","Identyfikator cechy<br/>(Widoczny tylko dla administratora.Musi być unikalny i nie posiadać spacji)"
"Attribute Information","Informacje o cesze"
"Attribute Label","Nazwa cechy"
"Attribute Model","Attribute Model"
"Attribute Name:","Nazwa cechy:"
"Attribute Properties","Właściwości cech"
"Attribute Set","Zestaw cech"
"Attribute set successfully saved.","Zestaw cech został zapisany"
"Attribute set was successfully removed.","Zestaw cech został usunięty"
"Attribute set with the same name already exists.","Zestaw cech o podanej nazwie już istnieje."
"Attribute with the same code already exists","Cecha o podanym kodzie już istnieje"
Attributes,Cechy
"Average rating","Średnia ocena"
"Average Sale","Średnia sprzedaż"
Back,Powrót
"Backend Model","Model administracyjny"
"Backend Table","Backend Table"
"Backend Table Title","Nazwa tabeli administratora"
Backup,"Kopia zapasowa"
Backups,"Kopie zapasowe"
"Backups Control","Zarządzanie kopiami zapasowymi"
"Based On","Bazujący na"
"Best Customers","Najlepsi klienci"
"Big Image","Duże zdjęcie"
"Bill to Firstname","Imię (płatnik)"
"Bill to Lastname","Nazwisko (płatnik)"
"Billing Address","Adres płatnika"
"Block Information","Informacje o bloku"
"Block Title","Nazwa bloku"
"Block was succesfully deleted","Blok został usunięty"
"Block was successfully saved","Blok został zapisany"
"Bought From","Kupione od"
"Bought from wishlists","Kupione z poziomu listy życzeń"
Bundle,Zestaw
"Can be used only with catalog input type Dropdown","Można używać tylko z rozwijaną listą po stronie sklepu"
Cancel,Anuluj
"Cancel Order","Usuń zamówienie"
Cancelled,Anulowane
"Card Verification Number","Numer CVV2"
Carts,Carts
Catalog,Sklep
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Catalog Price Rule","Reguła cenowa dla strony"
"Catalog Price Rules","Reguły sklepu"
"Catalog Searches","Wyszukiwania w sklepie"
Categories,Kategorie
"Category Data","Dane kategorii"
"Category delete error","Błąd w trakcie kasowania kategorii"
"Category deleted","Kategoria została usunięta"
"Category move error","Błąd podczas przenoszenia kategorii"
"Category Products","Produkty kategorii"
"Category saved","Kategoria została zapisana"
"Change Order Status","Zmień status zamówienia"
"Checkout Price Rule","Reguła cenowa dla zamówienia"
"Choose Store","Wybierz sklep"
City,Miasto
"Class Details","Szczegóły klasy"
"Class Name","Nazwa klasy"
Closed,Zakmnięty
CMS,"Zarządzanie treścią"
"CMS Blocks","Bloki w systemie zarządzania treścią"
"CMS Pages"," Strony CMS"
Code,Kod
Comment,Komentarz
Company,Firma
Comparable,Porównywalny
"Comparable on Front-end","Porównywalne w sklepie"
Conditions,Warunki
"Conditions and Actions","Warunki i działania"
Config,Konfiguracja
"Configurable Product Settings"," Ustawienia produktów konfigurowalnych"
Configuration,Konfiguracja
"Configuration successfully saved","Zapisano konfigurację"
"Connect with the Magento Community","Dołącz do społeczności Magento"
Content,Zawartość
Continue,Dalej
"Convert to Plain Text","Konwertuj na tekst niesformatowany"
"Copyright 2007 Varien. Magento is a trademark of Irubin Consulting Inc","&copy; Copyright 2007 <a href=""http://www.varien.com"" target=""varien-external"">Varien</a>. Magento is a trademark of Irubin Consulting Inc"
Country,Państwo
County,Powiat
"Coupon Code","Kod kuponu"
"Coupon code","Kod kuponu"
Coupons,Kupony
"Coupons Reports","Raport kuponów"
"Create Backup","Zrób backup"
"Create Credit Memo","Stwórz dokument kredytowy"
"Create New Credit Memo","Utwórz nowy dokument kredytowy"
"Create New Customer","Utwórz klienta"
"Create New Invoice","Utwórz nową fakturę"
"Create New Order","Utwórz zamówienie"
"Create Newsletter Template","Stwórz szablon newslettera"
"Create Order","Utwórz zamówienie"
"Create Product Settings","Stwórz ustawienia dla produktu"
"Created at","Utworzono dnia"
"Created On",Utworzono
"Credit Card Number","Numer karty kredytowej"
"Credit Card Number: %s","<strong>Kod CVV2:</strong> <span class=""nowrap"">%s</span>"
"Credit Card Number: xxxx-%s","<strong>Numer karty kredytowej:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Type: %s","<strong>Typ karty kredytowej:</strong> <span class=""nowrap"">%s</span>"
"Credit Memo Date: %s","Data dokumentu kredytowego: %s"
"Credit Memo Information","Informacje o dokumencie kredytowym"
"Credit Memo was not saved","Dokument kredytowy nie został zapisany"
"Credit Memo was saved succesfully","Dokument kredytowy został zapisany"
Cross-sells,"Sprzedaże krzyżowe"
CSV,CSV
Currency,Waluta
"Currency Information","Informacje o walutach"
"Current Configuration Scope:","Aktualnie edytujesz ustawienia:"
Customer,Klient
"Customer Addresses","Adresy klienta"
"Customer Balance","Stan konta klienta"
"Customer doesn't have primary billing address","Klient nie posiada podstawowego adresu płatnika"
"Customer Group was successfully deleted","Grupa klientów została usunięta"
"Customer Group was successfully saved","Grupa klientów została zapisana"
"Customer Group: %s","<strong>Grupa klientów:</strong> %s"
"Customer Groups","Grupy klientów"
"Customer has no addresses","Klient nie posiada adresów"
"Customer Information","Informacje o kliencie"
"Customer Notes","Notatki o kliencie"
"Customer Reviews","Recenzje klientów"
"Customer Since","Klient od"
"Customer Tags","Tagi klientów"
"Customer Tax Class","Klasa podatku dla klienta"
"Customer Tax Class Information","Informacje o klasie podatku klienta"
"Customer Tax Classes","Klasy podatku dla klienta"
"Customer View","Widok klienta"
"Customer was deleted","Klient został usunięty"
"Customer was successfully saved","Klient został zapisany"
"Customer with the same email already exists.","Klient o tym samym adresie email już istnieje"
Customers,Klienci
"Customers Only","Tylko klienci"
"Customers Report","Raporty klientów"
"Customers Reviews","Recenzje klientów"
"Customers Tagged '%s'","Oznaczone przez klientów '%s'"
"Customers Tagged Product","Tagi dodane przez klienta"
"Customers Tags","Tagi klientów"
"Customers that have wishlist: %s%","Klienci posiadający listę życzeń: %s%"
"Customers' Tags","Tagi klientów"
Dashboard,Dashboard
"Dashboard Control","Dashboard Control"
"Data Type for Saving in Database","Typ danych do zapisania w bazie"
Datafeeds,"Export danych"
Date,Data
"Date Added","Data dodania"
"Date and Time","Data i Czas"
"Date Closed","Data zamknięcia"
"Date Created","Data utworzenia"
"Date Expire","Data wygaśnięcia"
"Date Posted","Data wysłania"
"Date Start","Data rozpoczęcia"
"Date Updated","Data aktualizacji"
Datetime,Datetime
"Days in Wishlist","Dni na liście życzeń"
DB,"Baza danych"
Decimal,"Wartość decymalna"
"Decimal Number","Wartość liczbowa"
"Default Billing Address","Domyślny adres płatnika"
"Default config","Domyślna konfiguracja"
"Default price","Domyślna cena"
"Default Qty","Domyślna ilość"
"Default Shipping Address","Domyślny adres dostawy"
"Default Store","Domyślny sklep"
Delete,Usuń
"Delete Address","Usuń adres"
"Delete Answer","Usuń odpowiedź"
"Delete Attribute","Usuń cechę"
"Delete Attribute Set","Usuń zestaw cech"
"Delete Block","Usuń blok"
"Delete Category","Usuń kategorię"
"Delete Class","Usuń klasę"
"Delete Customer","Usuń klienta"
"Delete Customer Group","Usuń grupę klientów"
"Delete Invoice","Usuń fakturę"
"Delete Option"," Usuń opcję"
"Delete Page","Usuń stronę"
"Delete Poll","Usuń ankietę"
"Delete Rate","Skasuj stawkę"
"Delete Rating","Usuń ocenę"
"Delete Review","Usuń recenzję"
"Delete Role","Skasuj grupę uprawnień"
"Delete Rule","Skasuj regułę"
"Delete Search","Usuń warunek"
"Delete Selected Group","Usuń zaznaczoną grupę"
"Delete Selected Problems","Usuń zaznaczone problemy"
"Delete Store","Usuń sklep"
"Delete Tag","Usuń tag"
"Delete Template","Usuń szablon"
"Delete Tier","Usuń poziom"
"Delete User","Usuń użytkownika"
"Delete Website","Usuń witrynę"
Description,Opis
Detail,Szczegóły
"Detailed Rating","Szczegółowa ocena"
Disable,Wyłącz
Disabled,Wyłączony
Discount,Rabat
"Discount amount","Wartość zniżki"
"Do you really want to cancel the queue?","Czy na pewno chcesz anulować kolejkę?"
"Doc Number","Numer dokumentu"
"Double click on a group to rename it","Kliknij na grupie dwukrotnie aby zmienić jej nazwę"
Download,Pobieranie
Dropdown,"Lista rozwijana"
Duplicate,Duplikat
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Zduplikowany wiersz nr.%s (Kraj ""%s"", Województwo ""%s"", Kod pocztowy ""%s"" i wartość ""%s"")"
Edit,Edycja
"Edit ""%s""","Edytuj ""%s"""
"Edit %s Tax Class","Edycja klasy podatku %s"
"Edit %s Tax Class Title","Edycja tytułu klasy podatku %s"
"Edit Answer '%s'","Edycja odpowiedź '%s'"
"Edit Attribute Set '%s'","Edytuj zestaw cech '%s'"
"Edit Block","Edycja bloku"
"Edit Block '%s'","Edycja bloku '%s'"
"Edit Class Details","Edycja szczegółów klasy"
"Edit Customer Group","Edycja grupy klientów"
"Edit Customer Groups","Edycja grup klientów"
"Edit Customer's Address","Edycja adresu klienta"
"Edit Email Template","Edycja szablonu email"
"Edit Group","Edycja grupy"
"Edit Invoice","Edycja faktury"
"Edit Invoice #","Edycja faktury nr."
"Edit Invoice #%s","Edycja faktury nr.%s"
"Edit Newsletter","Edycja newslettera"
"Edit Newsletter Template","Edycja szablonu newslettera"
"Edit Order","Edycja zamówienia"
"Edit Order #%s","Edycja zamówienia nr.%s"
"Edit Order Status","Edycja statusu zamówienia"
"Edit Page","Edycja strony"
"Edit Page '%s'","Edycja strony '%s'"
"Edit Poll","Edycja ankiety"
"Edit Poll '%s'","Edycja ankiety '%s'"
"Edit Poll Answer","Edytuj pytanie do ankiety"
"Edit Product Attribute","Edycja cechy produktu"
"Edit Queue","Edycja kolejki"
"Edit Rating","Edycja oceny"
"Edit Review '%s'","Ediycja recenzji '%s'"
"Edit Role","Edycja grupy uprawnień"
"Edit Rule","Edycja reguły"
"Edit Rule '%s'","Edycja grupy uprawnień '%s'"
"Edit Search","Edycja kryteriów wyszukiwania"
"Edit Search '%s'","Edycja wyszukiwania '%s'"
"Edit Set Name","Edycja nazwy zestawu"
"Edit Sorting","Edycja kolejności"
"Edit Store","Edycja sklepu"
"Edit Store '%s'","Edycja sklepu '%s'"
"Edit System Template","Edycja szablonu systemowego"
"Edit Tag","Edycja taga"
"Edit Tag '%s'","Edit Tag '%s'"
"Edit Tax Rate","Edycja stawki podatku"
"Edit Tax Rule","Edycja reguły podatku"
"Edit Template","Edycja szablonu"
"Edit User","Edycja użytkownika"
"Edit User '%s'","Edycja użytkownika '%s'"
"Edit Website","Edycja strony"
"Edit Website '%s'","Edycja witryny '%s'"
Email,Email
"Email Address","Adres email"
"Email Preview","Podgląd email"
Empty,Pusty
Enable,Włącz
Enabled,Włączony
"Error Code","Kod błędu"
"Error during import: %s","Błąd podczas importu: %s"
"Error Text","Tekst błędu"
"Error while adding a group. Please, try again later.","Błąd podczas dodawania grupy. Ponów próbę"
"Error while deleting a group. Please try again later.","Błąd w trakcie kasowania grupy. Ponów próbę."
"Error while deleting this rate. Please try again later.","Błąd w trakcie kasowania stawki. Ponów próbę."
"Error while deleting this role. Please try again later.","Błąd podczas kasowania grupy. Ponów próbę."
"Error while deleting this set.","Błąd w trakcie kasowania zestawu."
"Error while deleting this tax class. Please, try again later.","Nie powiodło się kasowanie klasy podatku. Ponów próbę."
"Error while deleting this tax rule. Please, try again later.","Błąd podczas kasowania reguły podatku. Spróbuj ponownie."
"Error while saving account. Please, try again later","Błąd podczas zapisywania zmian w koncie. Ponów próbę."
"Error while saving this group. Group with the same name already exists.","Błąd podczas zapisywania danych grupy. Grupa o takiej samej nazwie już istnieje."
"Error while saving this group. Please try again later.","Nie udało się zapisać grupy. Ponów próbę."
"Error while saving this rate. Please try again later.","Nastąpił błąd podczas zapisu stawki. Ponów próbę."
"Error while saving this role. Please try again later.","Błąd podczas zapisu grupy. Ponów próbę."
"Error while saving this set. Set with the same name already exists.","Nie udało się zapisać zestawu. Zestaw o takiej nazwie już istnieje."
"Error while saving this tax class. Class with the same name already exists.","Nastąpił błąd w trakcie zapisywania tej klasy podatku. W systemie jest już klasa o tej samej nazwie."
"Error while saving this tax class. Please try again later.","Nastąpił błąd podczas próby zapisania stawki podatku. Ponów próbę."
"Error while saving this tax rule. Please try again later.","Nastąpił błąd podczas próby zapisania klasy podatku. Ponów próbę."
"ex. http://domain.com","np. http://domena.pl"
"Exclude multi-address checkout","Wyklucza dostawę do wielu adresów"
"Expiration Date","Data ważności"
"Expiration Date: %s","<strong>Data ważności:</strong> <span class=""nowrap"">%s</span>"
"Expiration Date: %s/%s","Data ważności: %s/%s"
Export,Eksport
"Export CSV","Export CSV"
"Export Tax Rates","Eksportuj stawki podatku"
"Export to:","Exportuj do:"
Failed,Niepowodzenie
Fax,Fax
"Feature Products","Produkty polecane"
"Filterable (no results)","Filtrowalne (brak wyników)"
"First Name",Imię
"Fiterable (with results)","Filtrowalny (z wynikami)"
Fixed,Stały
"Fixed amount discount","Zniżka o stałej wartości"
for,dla
"For all types of checkout","Dla wszystkich typów realizacji zamówienia"
"For matching items only","Dla produktów spełniających kryteria"
"For shipment with matching items","Dla wysyłki i produktów spełniających kryteria"
Format,Format
"Free ground shipping","Bezpłatna dostawa pocztą lądową"
From,Z
"From Date","Data od"
"Frontend Model","Frontend Model"
"Frontend Properties","Ustawienia sklepu od strony klienta"
"General Information","Informacje ogólne"
"Gift Certificate","Bon prezentowy"
Global,Globalny
"Global Attribute","Cecha globalna"
"Global Record Search","Globalne wyszukiwanie"
"Globally Editable","Edytowalne globalnie"
"Grand Total","Suma całkowita"
"Grid (default) / List","Wyświetlanie w kolumnach / Lista"
"Grid only","Tylko lista"
Group,Grupa
"Group Information","Informacje o grupie"
"Group Name","Nazwa grupy"
"Group was successfully deleted","Grupa została usunięta"
Groups,Grupy
Guest,Gość
"Haven't been charged yet","Jeszcze nie opłacony"
"Header Text","Tekst nagłówka"
"Help Us Keep Magento Healthy - Report All Bugs","Help Us Keep Magento Healthy - <a href=""http://www.magentocommerce.com/bug-tracking"" target=""varien_external""><strong>Report All Bugs</strong></a>"
Hits,Kliknięć
Home,"Strona główna"
HTML,HTML
"HTTP (unsecure)","HTTP (nieszyfrowany)"
"HTTPS (SSL)","HTTPS (SSL)"
ID,ID
Identifier,Identyfikator
"If you do not specify an option value for a store then the default value will be used.","If you do not specify an option value for a store then the default value will be used.<strong>%s</strong>"
Image,Zdjęcie
Images,Zdjęcia
images/logo.gif,images/logo.gif
"Import / Export Tax Rates","Importuj / Eksportuj stawki podatków"
"Import Rates From www.webservicex.net","Importuj stawki ze strony www.webservicex.net"
"Import Tax Rates","Importuj stawki podatku"
in,w
Inactive,Nieaktywny
"Included Customer Groups","Uwzględnione grupy klientów"
"Included Product Categories","Zawarte kategorie produktów"
"Input Validation for Store Owner","Sprawdzanie poprawności danych dla właściciela sklepu"
Integer,
"Integer Number","Wartość typu int (integer)"
"Interface Language","Język interfejsu"
"Interface Locale: %s","Wartość locale: %s"
"Invalid %s ""%s"" in the Row #%s","Błędny %s ""%s"" w wierszu #%s"
"Invalid Answer","Błędna odpowiedź"
"Invalid Country ""%s"" in the Row #%s","Nieprawidłowy kraj ""%s"" w wierszu #%s"
"Invalid file upload attempt","Próba wgrania pliku zakończona niepowodzeniem."
"Invalid Region/State ""%s"" in the Row #%s","Nieprawidłowe województwo ""%s"" w wierszu #%s"
"Invalid request","Nieprawidłowe żądanie"
"Invalid Shipping Price ""%s"" in the Row #%s","Błędna cena dostawy ""%s"" w wierszu #%s"
"Invalid Table Rates File Format","Nieprawidłowy format pliku dla stawek wg. tabeli"
"Invoice #","Faktura nr."
"Invoice #%s","Faktura nr. #%s"
"Invoice Date","Data faktury"
"Invoice Date: %s","Data faktury: %s"
"Invoice Information","Informacje o fakturze"
"Invoice Status: %s","Status faktury: %s"
"Invoice Status: Paid","Status faktury: opłacona"
"Invoice was charged succesfully","Faktura została dodana"
"Invoice was not charged","Faktura nie została zapłacona"
"Invoice was not saved","Faktura nie została zapisana"
"Invoice was successfully charged","Faktura została opłacona"
"Invoice was successfully saved","Faktura została usunięta"
"Invoice was updated succesfully","Faktura została zaktualizowana"
Invoices,Faktury
"IP Address","Adres IP"
"Item Status","Status produktu"
"Items in Cart","Produktów w koszyku"
"Items Ordered","Ilość zamówiona"
"Items Shipped","Dostarczone produkty"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
Keywords,"Słowa kluczowe"
Language,Język
"Last Activity","Ostatnio aktywny"
"Last date subscribed","Data ostatniej subskrypcji"
"Last date unsubscribed","Data ostatniego wypisania z newslettera"
"Last Log In: %s (%s)","<strong>Ostatnie logowanie:</strong> %s (<strong>%s</strong>)"
"Last Modified","Ostatnia modyfikacja"
"Last Name",Nazwisko
"Last Review","Ostatnia recenzja"
"Last Url","Ostatni adres URL"
Layout,Wygląd
Letters,Litery
"Letters(a-z) or Numbers(0-9)","Litery(a-z) lub liczby(0-9)"
"Lifetime Sales","Całkowita sprzedaż"
"List (default) / Grid","Lista (domyślna) / Widok kolumnowy"
"List only","Tylko lista"
Loading...,Wczytywanie...
"Log in to Admin Panel","<em>Zaloguj się</em> do Panelu Administracyjnego"
"Log into Magento Admin Page","Zaloguj się w panelu"
"Log Out","Wyloguj się"
"Logged in as %s","Zalogowany jako <strong>%s</strong>"
Login,Logowanie
"Magento &trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007.","Magento &trade; is a registered Trademark of Irubin Consulting Inc. DBA <a href=""http://www.varien.com"" target=""varien_external"">Varien</a>. &copy; Copyright 2007."
"Magento Admin","Administracja Magento"
"Magento Commerce - Administrative Panel","Magento Commerce - Panel Administracyjny"
"Magento Logo","Logo Magento"
"Magento ver. %s","Magento <strong>ver. %s</strong>"
"Manage Attribute Sets","Zarządzaj zestawami cech"
"Manage Attributes","Zarządzaj cechami"
"Manage Blocks","Zarządzaj blokami"
"Manage Catalog Categories","Zarządzaj kategoriami"
"Manage Categories","Zarządzaj kategoriami"
"Manage Currencies","Zarządzaj walutami"
"Manage Currency",Waluty
"Manage Customers","Zarządzaj klientami"
"Manage Label / Options","Zarządzaj Manage Label / Options"
"Manage Options (values of your attribute)","Zarządzaj opcjami (wartościami cech)"
"Manage Pages","Zardządzaj stronami"
"Manage Product Attributes","Zarządzaj cechami produktów"
"Manage Product Sets","Zarządzaj zestawami produktów"
"Manage Products","Zarządzaj produktami"
"Manage Ratings","Zarządzaj ocenami"
"Manage Tax Rates","Zarządzaj stawkami podatków"
"Manage Tax Rules","Zarządzaj regułami podatków"
"Manage Titles (Size, Color, etc.)","Zarządzaj tytułami (Rozmiar, Kolor itp.)"
"Matching Products","Produkty spełniające kryteria"
"Maximum Qty Discount is Applied to","Maksymalna zniżka ilościowa jest stosowana dla"
Message,Wiadomość
"Meta Data","Dane META"
"Meta Description","Opis META"
"Meta Keywords","Słowa kluczowe META"
"Move Item to:","Przenieś do:"
"Multiple Select","Pole wielokrotnego wyboru"
"My Account","Moje konto"
N/A,n/d
n/a,n/d
Name,Nazwa
"Name In %s","Nazwa w %s"
"Name In Store","Nazwa w sklepie"
"Name on the Card","Nazwa na karcie"
"Name on the Card: %s","<strong>Nazwa na karcie:</strong> <span class=""nowrap"">%s</span>"
"Name<br/>(For internal use)","Nazwa<br/>(do użytku wewnętrznego)"
Never,Nigdy
"New Address","Nowy adres"
"New Block","Nowy blok"
"New Category","Nowa kategoria"
"New Credit Memo for Invoice #","Nowy dokument kredytowy dla faktury nr."
"New Currency","Nowa waluta"
"new customer","nowy klient"
"New Customer","Nowy klient"
"New Customer Address","Nowy adres klienta"
"New Customer Group","Nowa grupa klientów"
"New Customer Groups","Nowe grupy klientów"
"New Customer Tax Class","Nowa klasa podatku dla klienta"
"New Email Template","Nowy szablon email"
"New Group","Nowa grupa"
"New Invoice for Order #%s","Nowa faktura dla zamówienia nr.%s"
"New Newsletter Template","Nowy szablon newslettera"
"New Order","Now zamówienie"
"New Page","Nowa strona"
"New Password","Nowe hasło"
"New Poll","Nowa ankieta"
"New Product","Nowy produkt"
"New Product Attribute","Nowa cecha produktu"
"New Product Tax Class","Nowa klasa podatku dla produktu"
"New Rating","Nowa ocena"
"New Review","Nowa recenzja"
"New Rule","Nowa reguła"
"New Search","Nowe wyszukiwanie"
"New Set Name","Nowa nazwa zestawu"
"New Store","Nowy sklep"
"New System Template","Nowy szablon systemowy"
"New Tag","Nowy tag"
"New Tax Rate","Nowa stawka podatku"
"New Tax Rule","Nowa reguła podatku"
"New Template","Nowy szablon"
"New User","Nowy użytkownik"
"New Website","Nowa strona"
Newsletter,Newsletter
"Newsletter Finish","Koniec newslettera"
"Newsletter Information","Informacje o newsletterze"
"Newsletter Message Preview","Podgląd newslettera"
"Newsletter Problem Reports","Problemy w wysyłce newslettera"
"Newsletter Queue","Kolejka newslettera"
"Newsletter Received","Newsletter otrzymany"
"Newsletter Start","Start newslettera"
"Newsletter Subscribers","Subskrybenci newslettera"
"Newsletter Subscription","Subskrybcja newslettera"
"Newsletter Templates","Szablony newslettera"
"Next page","Następna strona"
Nickname,Nick
No,Nie
"No description","Brak opisu"
"No Items Found","Nie znaleziono elementów"
"No Newsletter Found","Brak newslettera"
"No problems found","Nie znaleziono problemów"
"No records found.","Brak wyników."
"No search modules registered","Brak zarejestrowanych modułów wyszukiwania"
"No Templates Found","Nie znaleziono szablonów"
None,Brak
"Not activated",Nieaktywny
"NOT LOGGED IN","NIE ZALOGOWANY"
"Not Sent","Nie wysłane"
"Number Added","Ilość dych"
"Number Fulfilled","Ilość wystarczająca do realizacji zamówienia"
"Number of items bought from a wishlist: %s","Ilość produktów zakupionych z listy życzeń: %s"
"Number of Responses","Ilość odpowiedzi"
"Number of results<br/>(For last time placed)","Ilość wyników<br/>(od ostatniego razu)"
"Number Of Reviews","Ilość recenzji"
"Number of Reviews","Ilość recenzji"
"Number of times deleted","Ile razy skasowano"
"Number of times wishlists have been shared (emailed): %s","Ilość razy kiedy lista życzeń została wysłana do innych: %s"
"Number of Total Tags","Łączna ilość tagów"
"Number of Unique Tags","Liczba unikalnych tagów"
"Number of Uses","Ilość użyć"
"Number of wishlist conversions: %s","Liczba konwersji za pomocą listy życzeń: %s"
"Number of wishlist referrals: %s","Ilość osób poleconych za pośrednictwem listy życzeń: %s"
"Number of wishlists: %s","Ilość list życzeń: %s"
"Number Purchased","Ilość kupionych produktów"
"Number Viewed","Ilość wyświetleń"
"of %s pages","z &nbsp<strong>%s</strong> stron"
Offline,Offline
Online,Online
"Online Customers","Klienci online"
Open,Otwarty
Option,Opcja
"Option Label","Nazwa opcji"
"Option Title","Tytuł dla opcji"
"Option Title:","Tytuł opcji:"
Option:,Opcja:
Options,Opcje
"Options Control","Kontrola opcji"
or,lub
"Order #","Zamówienie nr."
"Order #%s","Zamówienie nr.%s"
"Order #%s (%s)","Zamówienie nr.%s (%s)"
