"* Required Fields","* Pola wymagane"
"Payment Method","Forma płatności"
"Personal Information","Dane osobiste"
"Please enter your email below and we\'ll send you a new password.","Wpisz poniżej adres email aby otrzymać nowe hasło"
"Please select region, state or province","Wybierz województwo"
Price,Cena
"Primary Billing Address","Podstawowy adres płatnika"
"Primary Shipping Address","Podstawowy adres płatnika"
Product,Produkt
Qty,Ilość
"Registered Customers","Zarejestrowani klienci"
Remove,Usuń
"Retrieve your password here","Odzyskaj swoje hasło"
Save,Zapisz
"Save Address","Zapisz adres"
"Save Password","Zapisz hasło"
"Save Subscription","Zapisz dane subskrybcji"
"Shipping Information","Informacje o wysyłce"
"Shipping Method","Forma dostawy"
"Shoppping Cart",Koszyk
"Sign Up for Newsletter","Zapisz się na newsletter"
"Sign up for our newsletter","Zapisz się na newsletter"
State/Province,Województwo
Status,Status
"Street Address",Ulica
"Street Address 2","Ulica cd."
Submit,Wyślij
Subscribe,Subskrybuj
Telephone,Telefon
"Thank you for registering with %s","Dziękujemy za rejestrację przy pomocy %s"
"The address does not belong to this customer","Ten adres nie jest przypisany do tego klienta"
"The address was successfully deleted","Adres został skasowany"
"The address was successfully saved","Adres został zapisany"
"There was an error while deleting the address","Błąd w trakcie usuwania tego adresu"
"This email address was not found in our records","Nie ma takiego adresu email w naszej bazie"
"This is My Primary %s Address","To jest twój podstawowy adres <strong>%s</strong>"
"To Cart","Do koszyka"
Total,Suma
Update,Aktualizuj
"Use as my default billing address","Użyj jako mojego domyślnego adresu <strong>płatności</strong>"
"Use as my default shipping address","Użyj jako mojego podstawowego adresu <strong>dostawy</strong>"
"Use as My Primary %s Address","Użyj adresu <strong>%s</strong> jako podstawowego"
"View Order","Zobacz zamówienie"
"View Order List","Zobacz zamówienia"
Wishlist,"Lista życzeń"
"Wrong region id by selected country","Błędne ID województwa dla wybranego kraju"
"You are currently not subscribed to our newsletter","Nie korzystasz z naszego newslettera"
"You are currently subscribed to 'General Subscription'.","Jesteś zapisany na ogólny newsletter w naszym sklepie."
"You are currently subscribed to no newsletters.","Nie korzystasz z naszego newslettera."
"You are currently subscribed to our newsletter","Już jesteś zapisany na nasz newsletter"
"You are currently subscribed to our newsletter.","Jesteś już zapisany na newsletter w naszym sklepie."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Zostałeś wylogowany i w ciągu 5 sekund zostaniesz przeniesiony na stronę główną."
"You have no additional address entries in your address book.","Nie masz innych wpisów w swojej książce adresowej."
"You have no additional entries in your address book.","Nie masz dodatkowych adresów w ksiażce adresowej."
"You have no default billing address in your address book.","Nie masz podstawowego adresu płatnika w książce adresowej."
"You have no default shipping address in your address book.","Nie masz podstawowego adresu wysyłki w książce adresowej."
"You have no primary entries in your address book.","Nie masz jeszcze adresów podstawowych w swojej książce adresowej"
"You have not set a primary billing address.","Nie wybrałeś podstawowego adresu płatnika."
"You have not set a primary shipping address.","Nie ustaliłeś podstawowego adresu dostawy."
"You have placed no orders yet.","Nie składałeś jeszcze zamówień."
"You have placed no products yet.","Nie składałeś jeszcze zamówień."
"You're now Logged Out","Wylogowałeś się"
"Your account balance is: %s","Stan konta: <strong>%s</strong>"
"Zip/Postal Code","Kod pocztowy"
